,Correlation,SKU_product1,SKU_product2
0,0.6928812870055385,2,30
1,0.6137493989524122,4,29
2,0.6010459035463009,4,152
3,0.6028473446466083,5,24
4,0.6257031712552426,5,66
5,0.6026326882524042,5,158
6,0.6500347515541322,6,51
7,0.7020136958125777,14,17
8,0.6731039017796225,14,24
9,0.6942065195253719,14,46
10,0.6392536634384185,14,57
11,0.7990526935158255,14,84
12,0.7576404778395079,14,170
13,0.7449619402891905,15,19
14,0.6801880373550391,15,23
15,0.6561243164461921,15,24
16,0.6026180445857783,15,28
17,0.64842140582933,15,44
18,0.6769157200849731,15,190
19,0.714991790144375,16,17
20,0.6402946062674768,16,19
21,0.8686478882261471,16,22
22,0.7254097344051864,16,23
23,0.6650189218143157,16,24
24,0.69231230032148,16,28
25,0.6479520388406613,16,44
26,0.6862708114491339,16,49
27,0.7256686476719542,16,84
28,0.7007321349914724,17,14
29,0.7122517761971524,17,16
30,0.6457706844380547,17,19
31,0.7272587520975462,17,23
32,0.7130520362622677,17,24
33,0.6406359413970926,17,57
34,0.6419687569386161,17,66
35,0.6250270135773627,17,82
36,0.8123696610333008,17,84
37,0.7524259158152728,18,28
38,0.6500563963066258,18,83
39,0.8280921029151391,18,122
40,0.8407864560279983,18,137
41,0.7354503535959638,18,138
42,0.7567718582775107,18,194
43,0.6424688664340227,18,195
44,0.7445663548730745,19,15
45,0.6275908478952991,19,16
46,0.6375718194508772,19,17
47,0.6405735891207657,19,22
48,0.781617689169658,19,23
49,0.71588179274818,19,24
50,0.6600992834964228,19,28
51,0.6596714749802075,19,38
52,0.8151402910492008,19,44
53,0.7750162491108892,19,82
54,0.6796701356893357,19,190
55,0.6130360991574301,21,24
56,0.6520935200255492,21,156
57,0.8689433239203296,22,16
58,0.6556235107677485,22,19
59,0.7555212312656705,22,23
60,0.7580098278871028,22,28
61,0.7487756656843235,22,44
62,0.6259143824965232,22,84
63,0.7504280220470232,22,195
64,0.6895534038101125,23,15
65,0.723409091772838,23,16
66,0.7284109407870545,23,17
67,0.7919372912733905,23,19
68,0.7534440532894086,23,22
69,0.6343428620746034,23,24
70,0.8949494652173369,23,28
71,0.6018007610483078,23,39
72,0.6175635656177343,23,44
73,0.6646826126693843,23,84
74,0.6008554380120633,24,5
75,0.6510926757642719,24,14
76,0.6566116985257842,24,15
77,0.6471374079291569,24,16
78,0.6957896598924176,24,17
79,0.716686527446652,24,19
80,0.6002421658920669,24,21
81,0.6180174932080615,24,23
82,0.624862822617892,24,37
83,0.7841286354552042,24,38
84,0.6217673765410328,24,44
85,0.7095177135425137,24,46
86,0.7008298492021624,24,47
87,0.6108611649805651,24,57
88,0.628185585563227,24,66
89,0.615768182541778,24,82
90,0.6687693987185759,24,84
91,0.6287323441126142,24,170
92,0.6001547067796897,25,6
93,0.7602346318674791,26,29
94,0.7128420749270812,26,70
